Serial Initialized
Time,Final Dest Ticks,Final Dest Deg,Pr Ticks,Pr Deg,Pm Ticks,Pm Deg,Kp,Kd,Vm,T
10,64,360,8,45,0,0,32,4,0,0
20,64,360,8,45,0,0,32,4,0,0
30,64,360,8,45,0,0,32,4,0,0
40,64,360,8,45,0,0,32,4,0,0
50,64,360,8,45,0,0,32,4,0,0
60,64,360,8,45,0,0,32,4,0,0
70,64,360,8,45,0,0,32,4,0,0
80,64,360,8,45,0,0,32,4,0,0
90,64,360,8,45,0,0,32,4,0,0
100,64,360,8,45,0,0,32,4,0,0
110,64,360,8,45,0,0,32,4,0,0
120,64,360,8,45,0,0,32,4,0,0
130,64,360,8,45,0,0,32,4,0,0
140,64,360,8,45,0,0,32,4,0,0
150,64,360,8,45,0,0,32,4,0,0
160,64,360,8,45,0,0,32,4,0,0
170,64,360,8,45,0,0,32,4,0,0
180,64,360,8,45,0,0,32,4,0,0
190,64,360,8,45,0,0,32,4,0,0
200,64,360,8,45,0,0,32,4,0,256
210,64,360,8,45,0,0,32,4,0,256
220,64,360,8,45,0,0,32,4,0,256
230,64,360,8,45,0,0,32,4,0,256
240,64,360,9,50,0,0,32,4,0,256
250,64,360,9,50,0,0,32,4,0,256
260,64,360,10,56,0,0,32,4,0,256
270,64,360,11,61,0,0,32,4,0,256
280,64,360,11,61,0,0,32,4,0,256
290,64,360,12,67,0,0,32,4,0,256
300,64,360,13,73,0,0,32,4,0,256
310,64,360,14,78,0,0,32,4,0,256
320,64,360,15,84,0,0,32,4,0,256
330,64,360,16,90,0,0,32,4,0,256
340,64,360,17,95,0,0,32,4,0,256
350,64,360,18,101,0,0,32,4,0,256
360,64,360,19,106,0,0,32,4,0,256
370,64,360,20,112,0,0,32,4,0,256
380,64,360,21,118,0,0,32,4,0,256
390,64,360,22,123,0,0,32,4,0,256
400,64,360,23,129,15,84,32,4,39,228
410,64,360,24,135,15,84,32,4,39,228
420,64,360,25,140,15,84,32,4,39,228
430,64,360,27,151,15,84,32,4,39,228
440,64,360,27,151,15,84,32,4,39,228
450,64,360,29,163,15,84,32,4,39,228
460,64,360,29,163,15,84,32,4,39,228
470,64,360,31,174,15,84,32,4,39,228
480,64,360,31,174,15,84,32,4,39,228
490,64,360,33,185,15,84,32,4,39,228
500,64,360,33,185,15,84,32,4,39,228
510,64,360,35,196,15,84,32,4,39,228
520,64,360,36,202,15,84,32,4,39,228
530,64,360,37,208,15,84,32,4,39,228
540,64,360,38,213,15,84,32,4,39,228
550,64,360,39,219,15,84,32,4,39,228
560,64,360,40,225,15,84,32,4,39,228
570,64,360,41,230,15,84,32,4,39,228
580,64,360,42,236,15,84,32,4,39,228
590,64,360,43,241,15,84,32,4,39,228
600,64,360,45,253,37,208,32,4,61,212
610,64,360,45,253,37,208,32,4,61,212
620,64,360,47,264,37,208,32,4,61,212
630,64,360,47,264,37,208,32,4,61,212
640,64,360,49,275,37,208,32,4,61,212
650,64,360,49,275,37,208,32,4,61,212
660,64,360,51,286,37,208,32,4,61,212
670,64,360,51,286,37,208,32,4,61,212
680,64,360,53,298,37,208,32,4,61,212
690,64,360,54,303,37,208,32,4,61,212
700,64,360,55,309,37,208,32,4,61,212
710,64,360,56,315,37,208,32,4,61,212
720,64,360,57,320,37,208,32,4,61,212
730,64,360,58,326,37,208,32,4,61,212
740,64,360,59,331,37,208,32,4,61,212
750,64,360,60,337,37,208,32,4,61,212
760,64,360,61,343,37,208,32,4,61,212
770,64,360,61,343,37,208,32,4,61,212
780,64,360,63,354,37,208,32,4,61,212
790,64,360,64,360,37,208,32,4,61,212
800,64,360,64,360,56,315,32,4,50,220
810,64,360,64,360,56,315,32,4,50,220
820,64,360,64,360,56,315,32,4,50,220
830,64,360,64,360,56,315,32,4,50,220
840,64,360,64,360,56,315,32,4,50,220
850,64,360,64,360,56,315,32,4,50,220
860,64,360,64,360,56,315,32,4,50,220
870,64,360,64,360,56,315,32,4,50,220
880,64,360,64,360,56,315,32,4,50,220
890,64,360,64,360,56,315,32,4,50,220
900,64,360,64,360,56,315,32,4,50,220
910,64,360,64,360,56,315,32,4,50,220
920,64,360,64,360,56,315,32,4,50,220
930,64,360,64,360,56,315,32,4,50,220
940,64,360,64,360,56,315,32,4,50,220
950,64,360,64,360,56,315,32,4,50,220
960,64,360,64,360,56,315,32,4,50,220
970,64,360,64,360,56,315,32,4,50,220
980,64,360,64,360,56,315,32,4,50,220
990,64,360,65,365,56,315,32,4,50,220
1000,64,360,66,371,73,410,32,4,45,-288
Serial Initialized
Time,Final Dest Ticks,Final Dest Deg,Pr Ticks,Pr Deg,Pm Ticks,Pm Deg,Kp,Kd,Vm,T
10,64,360,8,45,0,0,32,4,0,0
20,64,360,9,50,0,0,32,4,0,0
30,64,360,10,56,0,0,32,4,0,0
40,64,360,10,56,0,0,32,4,0,0
50,64,360,10,56,0,0,32,4,0,0
60,64,360,10,56,0,0,32,4,0,0
70,64,360,10,56,0,0,32,4,0,0
80,64,360,10,56,0,0,32,4,0,0
90,64,360,10,56,0,0,32,4,0,0
100,64,360,10,56,0,0,32,4,0,0
110,64,360,10,56,0,0,32,4,0,0
120,64,360,10,56,0,0,32,4,0,0
130,64,360,10,56,0,0,32,4,0,0
140,64,360,10,56,0,0,32,4,0,0
150,64,360,10,56,0,0,32,4,0,0
160,64,360,10,56,0,0,32,4,0,0
170,64,360,10,56,0,0,32,4,0,0
180,64,360,10,56,0,0,32,4,0,0
190,64,360,10,56,0,0,32,4,0,0
200,64,360,10,56,2,11,32,4,5,252
210,64,360,10,56,2,11,32,4,5,252
220,64,360,11,61,2,11,32,4,5,252
230,64,360,11,61,2,11,32,4,5,252
240,64,360,12,67,2,11,32,4,5,252
250,64,360,12,67,2,11,32,4,5,252
260,64,360,13,73,2,11,32,4,5,252
270,64,360,14,78,2,11,32,4,5,252
280,64,360,14,78,2,11,32,4,5,252
290,64,360,16,90,2,11,32,4,5,252
300,64,360,16,90,2,11,32,4,5,252
310,64,360,17,95,2,11,32,4,5,252
320,64,360,18,101,2,11,32,4,5,252
330,64,360,19,106,2,11,32,4,5,252
